pdb,chain,tstart,tend,status,type
AF-P04439-F1-model_v6,NoChainInfo,25,204,primary,afdb
AF-P17693-F1-model_v6,NoChainInfo,25,204,primary,afdb
AF-P10321-F1-model_v6,NoChainInfo,26,204,primary,afdb
AF-P01889-F1-model_v6,NoChainInfo,25,203,primary,afdb
AF-P13747-F1-model_v6,NoChainInfo,22,200,primary,afdb
AF-P01893-F1-model_v6,NoChainInfo,25,204,primary,afdb
AF-P30511-F1-model_v6,NoChainInfo,22,201,primary,afdb
AF-Q95460-F1-model_v6,NoChainInfo,24,197,primary,afdb
AF-P25311-F1-model_v6,NoChainInfo,26,200,primary,afdb
AF-Q30201-F1-model_v6,NoChainInfo,26,201,primary,afdb
AF-Q29980-F1-model_v6,NoChainInfo,24,198,primary,afdb
AF-Q8TD07-F1-model_v6,NoChainInfo,29,201,primary,afdb
AF-Q6H3X3-F1-model_v6,NoChainInfo,29,206,primary,afdb
AF-P55899-F1-model_v6,NoChainInfo,28,198,primary,afdb
AF-P06126-F1-model_v6,NoChainInfo,23,199,primary,afdb
AF-Q5VY80-F1-model_v6,NoChainInfo,29,206,primary,afdb
AF-Q9BZM5-F1-model_v6,NoChainInfo,29,206,primary,afdb
AF-Q9BZM4-F1-model_v6,NoChainInfo,31,207,primary,afdb
AF-Q9BZM6-F1-model_v6,NoChainInfo,30,206,primary,afdb
AF-P15812-F1-model_v6,NoChainInfo,36,202,primary,afdb
AF-P29017-F1-model_v6,NoChainInfo,25,197,primary,afdb
AF-Q29983-F1-model_v6,NoChainInfo,26,198,primary,afdb
AF-P15813-F1-model_v6,NoChainInfo,25,197,primary,afdb
AF-Q9UNN8-F1-model_v6,NoChainInfo,24,202,primary,afdb
AF-P29016-F1-model_v6,NoChainInfo,24,200,primary,afdb
8rlv-assembly1,A,1,179,primary,pdb
3x11-assembly1,A,1,180,primary,pdb
1qse-assembly1,A,1,180,primary,pdb
3bzf-assembly1,A,1,179,primary,pdb
7p49-assembly1,A,1,179,primary,pdb
1bd2-assembly1,A,1,180,primary,pdb
7lfz-assembly1,A,1,180,primary,pdb
5jzi-assembly1,A,1,180,primary,pdb
7ndt-assembly1,AAA,1,177,primary,pdb
7bh8-assembly1,A,1,179,primary,pdb
3x12-assembly1,A,1,179,primary,pdb
6j1w-assembly1,A,1,180,primary,pdb
7ejl-assembly1,A,1,180,primary,pdb
3vxu-assembly1,A,1,180,primary,pdb
7tud-assembly1,A,1,180,primary,pdb
1p7q-assembly1,A,1,180,primary,pdb
5eo1-assembly1,A,1,179,primary,pdb
6p27-assembly1,A,1,179,primary,pdb
3gsn-assembly1,H,1,180,primary,pdb
1t22-assembly1,A,1,180,primary,pdb
2d31-assembly1,A,1,180,primary,pdb
1t1y-assembly1,A,1,180,primary,pdb
3fqu-assembly1,A,1,180,primary,pdb
7ow6-assembly1,A,1,180,primary,pdb
7um2-assembly1,A,1,180,primary,pdb
8zv9-assembly1,A,5,183,primary,pdb
5vvp-assembly1,A,1,180,primary,pdb
6zkw-assembly1,A,1,178,primary,pdb
7lg0-assembly1,A,1,180,primary,pdb
1hhk-assembly1,A,1,180,primary,pdb
5xov-assembly1,A,1,180,primary,pdb
1t1z-assembly1,A,1,180,primary,pdb
7zuc-assembly1,A,1,180,primary,pdb
7sis-assembly1,A,1,180,primary,pdb
5txs-assembly1,A,1,180,primary,pdb
5vwd-assembly1,A,1,180,primary,pdb
6z9w-assembly1,A,1,180,primary,pdb
5wwu-assembly1,A,1,180,primary,pdb
8ye4-assembly1,A,1,180,primary,pdb
7nme-assembly1,A,1,180,primary,pdb
3vxs-assembly1,A,1,180,primary,pdb
5vwf-assembly1,A,1,180,primary,pdb
6p23-assembly1,A,1,179,primary,pdb
4f7p-assembly1,A,1,180,primary,pdb
5hhq-assembly1,A,1,180,primary,pdb
7bbg-assembly1,A,1,180,primary,pdb
7rtd-assembly1,A,1,180,primary,pdb
2esv-assembly1,A,1,179,primary,pdb
4no0-assembly1,A,1,180,primary,pdb
5hgb-assembly1,A,1,180,primary,pdb
7nmd-assembly1,A,1,180,primary,pdb
1a9e-assembly1,A,1,180,primary,pdb
7n6e-assembly1,A,1,180,primary,pdb
7u1r-assembly1,A,1,180,primary,pdb
7p4b-assembly1,A,1,179,primary,pdb
7jyx-assembly1,A,1,180,primary,pdb
1q94-assembly1,A,1,180,primary,pdb
2f54-assembly1,A,1,180,primary,pdb
4qok-assembly1,A,1,180,primary,pdb
5xot-assembly1,A,1,180,primary,pdb
1t21-assembly1,A,1,180,primary,pdb
3rl2-assembly1,A,1,180,primary,pdb
7tr4-assembly1,A,1,180,primary,pdb
6mtm-assembly1,A,1,178,primary,pdb
7mja-assembly1,A,1,180,primary,pdb
3gsw-assembly1,A,1,180,primary,pdb
1akj-assembly1,A,1,180,primary,pdb
1qsf-assembly1,A,1,180,primary,pdb
5w6a-assembly1,A,1,179,primary,pdb
3fqt-assembly1,A,1,180,primary,pdb
4f7m-assembly1,A,1,180,primary,pdb
1hhh-assembly1,A,1,180,primary,pdb
1t1x-assembly1,A,1,180,primary,pdb
8qfy-assembly1,AAA,1,179,primary,pdb
7ndq-assembly1,AAA,1,179,primary,pdb
6w51-assembly1,A,1,180,primary,pdb
8en8-assembly1,A,1,180,primary,pdb
6j2a-assembly1,A,1,180,primary,pdb
7s8s-assembly1,A,1,180,primary,pdb
5wjl-assembly1,A,1,180,primary,pdb
7s7e-assembly1,A,1,179,primary,pdb
6uz1-assembly1,A,1,180,primary,pdb
7wj2-assembly1,A,1,180,primary,pdb
3d3v-assembly1,A,1,180,primary,pdb
7f4w-assembly1,A,6,185,primary,pdb
3i6l-assembly1,D,1,180,primary,pdb
1xr9-assembly1,A,1,180,primary,pdb
2xpg-assembly1,A,1,180,primary,pdb
3pwp-assembly1,A,1,180,primary,pdb
6j1v-assembly1,A,1,180,primary,pdb
3kxf-assembly1,A,1,180,primary,pdb
1i4f-assembly1,A,1,180,primary,pdb
8ryo-assembly1,A,1,180,primary,pdb
6mt3-assembly1,A,1,180,primary,pdb
3v5k-assembly1,A,1,180,primary,pdb
6uk2-assembly1,A,1,180,primary,pdb
7kgo-assembly1,A,1,180,primary,pdb
7rtr-assembly1,A,1,180,primary,pdb
3wlb-assembly1,A,1,180,primary,pdb
8rbv-assembly1,A,2,181,primary,pdb
6uj7-assembly1,A,1,179,primary,pdb
6ghn-assembly1,A,1,179,primary,pdb
1t1w-assembly1,A,1,180,primary,pdb
7jyu-assembly1,A,1,180,primary,pdb
8xkc-assembly1,A,1,180,primary,pdb
6vm8-assembly1,A,1,180,primary,pdb
6zkz-assembly1,A,1,178,primary,pdb
4qrr-assembly1,A,1,180,primary,pdb
3vxp-assembly1,A,1,180,primary,pdb
5wsh-assembly1,A,1,180,primary,pdb
5wwj-assembly1,A,1,180,primary,pdb
5vz5-assembly1,A,1,180,primary,pdb
7nui-assembly1,A,1,180,primary,pdb
5hhn-assembly1,A,1,180,primary,pdb
1s8d-assembly1,A,1,180,primary,pdb
7rk7-assembly1,A,1,180,primary,pdb
4jfp-assembly1,A,1,180,primary,pdb
6zky-assembly1,A,1,178,primary,pdb
8i5d-assembly1,H,1,180,primary,pdb
1duy-assembly1,A,1,180,primary,pdb
3utt-assembly1,A,1,180,primary,pdb
7pbe-assembly1,A,1,180,primary,pdb
3h9s-assembly1,A,1,180,primary,pdb
4o2f-assembly1,A,1,180,primary,pdb
1a9b-assembly1,A,1,180,primary,pdb
6zkx-assembly1,A,1,177,primary,pdb
1ydp-assembly1,A,1,179,primary,pdb
7ejm-assembly1,A,1,180,primary,pdb
3v5d-assembly1,A,1,180,primary,pdb
3qfj-assembly1,A,1,180,primary,pdb
2nx5-assembly1,A,1,180,primary,pdb
6uli-assembly1,A,1,179,primary,pdb
7lg2-assembly1,A,1,180,primary,pdb
1cg9-assembly1,A,1,180,primary,pdb
6ggm-assembly1,A,1,179,primary,pdb
5enw-assembly1,A,1,180,primary,pdb
7s8q-assembly1,A,1,180,primary,pdb
3wl9-assembly1,A,1,180,primary,pdb
1s9y-assembly1,A,1,180,primary,pdb
2clr-assembly1,A,1,180,primary,pdb
5iue-assembly1,A,1,179,primary,pdb
3mgt-assembly1,A,1,180,primary,pdb
5f9j-assembly1,A,1,180,primary,pdb
3ox8-assembly1,A,1,180,primary,pdb
1e27-assembly1,A,1,180,primary,pdb
3ft2-assembly1,A,1,180,primary,pdb
3fqw-assembly1,A,1,180,primary,pdb
1t20-assembly1,A,1,180,primary,pdb
3c9n-assembly1,A,1,180,primary,pdb
4wu5-assembly1,A,1,180,primary,pdb
2bvp-assembly1,A,1,180,primary,pdb
4nqv-assembly1,A,1,180,primary,pdb
7kgs-assembly1,A,1,180,primary,pdb
6aee-assembly1,A,1,179,primary,pdb
6jp3-assembly1,A,1,180,primary,pdb
