UniProt_ID,PC1,PC2
P01889,-0.40872166,0.10230959
P01893,-0.41278687,0.106856465
P04439,-0.40570587,0.10429162
P06126,0.054894947,-0.37322503
P10321,-0.39902052,0.0976207
P13747,-0.4013183,0.120151624
P15812,0.09460687,-0.39168984
P15813,0.07172958,-0.3537281
P17693,-0.40655643,0.101994455
P25311,-0.14374086,0.048926145
P29016,0.058335714,-0.38108453
P29017,0.08094915,-0.35208163
P30511,-0.40230858,0.10763607
P55899,0.14256386,-0.11743954
Q29980,0.2019056,0.08956964
Q29983,0.209621,0.093522646
Q30201,0.008311054,0.05423331
Q5VY80,0.46590582,0.23886389
Q6H3X3,0.39526775,0.1794035
Q8TD07,0.26580662,0.19501783
Q95460,-0.23298736,-0.0050570173
Q9BZM4,0.4021409,0.18632327
Q9BZM5,0.46672025,0.22975764
Q9BZM6,0.20881462,0.07398327
Q9UNN8,0.08557296,-0.1561557
