UniProt_ID,PC1,PC2
A0A060CZ20,-0.46756807,0.014670966
A0A060ILJ5,4.610433,-0.4519322
A0A090KFS3,-0.47076198,0.022415597
A0A097ZQV5,-0.46280512,0.011553609
A0A0A8LC14,-0.47980526,-0.013876621
A0A0A8LDV2,-0.5049878,0.006580238
A0A0B7MGD5,-0.430336,0.045837153
A0A0B7MH39,-0.49918446,0.036658928
A0A0D4CZE3,-0.41551197,0.018554721
A0A0F6TL23,-0.4726927,0.023185415
A0A0G2JH50,-0.49965766,0.0035243512
A0A0G2JH58,4.532153,-0.6523017
A0A0G2JH66,-0.37033954,0.041700494
A0A0G2JI36,-0.4982018,0.036175106
A0A0G2JIF0,-0.50320184,-0.0003528022
A0A0G2JIF2,-0.48660386,0.021654261
A0A0G2JL56,-0.4902178,0.029074438
A0A0G2JNV5,-0.3376252,-0.010444636
A0A0G2JNX1,12.137656,2.3390307
A0A0G2JPA3,-0.42011866,0.010637914
A0A0G2JPD3,-0.4804182,0.035489142
A0A0G2JPQ3,-0.47244474,-0.027752535
A0A0H3W548,-0.48833585,0.030009499
A0A109QAI7,-0.48038775,0.01023916
A0A140T8W8,-0.4492499,0.036737993
A0A140T8X0,-0.42417157,0.008439353
A0A140T8Y4,-0.4878942,0.03818252
A0A140T912,-0.50516164,0.008687655
A0A140T913,-0.48497435,0.013237345
A0A140T921,-0.4815877,-0.019687034
A0A140T930,-0.5028075,0.0033292142
A0A140T937,-0.50461096,0.0056516067
A0A140T941,-0.4936052,0.037186936
A0A140T953,-0.4371034,0.041757274
A0A140T955,-0.4554822,0.018903263
A0A140T962,-0.5028322,0.011648442
A0A140T975,-0.49415034,0.027146634
A0A140T997,-0.4734744,0.055482402
A0A140T9B3,-0.5017029,0.009055887
A0A140T9B7,-0.34453067,0.005318443
A0A140T9D4,-0.44213006,-0.0041667735
A0A140T9H5,-0.48015016,-0.027852366
A0A140T9J8,-0.3718076,0.008080486
A0A140T9J9,-0.4996951,0.015640024
A0A140T9M0,-0.4985902,0.009574472
A0A140T9M6,4.5564275,-0.6512199
A0A140T9U0,-0.4989322,0.008335107
A0A140T9U8,-0.48243174,-0.029590813
A0A140T9V0,-0.42287287,0.005857359
A0A140T9W2,-0.49546725,-0.0025359427
A0A140T9Y5,-0.47571775,0.060038246
A0A140T9Z6,-0.48333195,0.02120194
A0A140TA02,-0.43736592,0.0021490373
A0A140TA05,-0.42413342,-0.056485802
A0A140TA11,-0.451381,0.036429763
A0A140TA13,-0.43239644,0.017963782
A0A140TA14,-0.45005405,0.037476342
A0A140TA19,-0.40775222,-0.016837807
A0A140TA21,-0.39932644,-0.050798032
A0A141MJG6,-0.49945816,0.03646554
A0A141MJG7,-0.50808954,0.009641259
A0A142J247,-0.48771268,0.033755224
A0A142J256,-0.46915892,0.0028151548
A0A142J2H0,-0.493535,0.0007356044
A0A142J2H2,-0.49682087,0.034961224
A0A142JA41,-0.49220696,-0.013453569
A0A143Y4R2,-0.49191764,0.022085702
A0A173AD40,-0.4900274,0.007566633
A0A173AD52,-0.44898817,0.010141927
A0A173AD94,-0.46251377,0.0028087718
A0A173AD95,-0.46421862,0.020739647
A0A173ADA9,-0.49738014,0.031779937
A0A173ADB5,-0.45578748,0.011984386
A0A173ADK6,-0.4701384,0.02371441
A0A1B0UGR9,4.458933,-0.62409604
A0A1C3PHU5,-0.5052227,0.030898811
A0A1G4HPV1,-0.4989734,0.040734563
A0A1G4HPV3,-0.47542554,0.012135867
A0A1G4HQ08,-0.47023532,0.013025588
A0A1L2BLQ5,-0.39909285,-0.014890437
A0A1L2BLQ6,-0.3531555,-0.038497657
A0A1S7SKC8,-0.4905904,0.036270183
A0A1V0E5B5,-0.5042059,0.017619992
A0A1W1B5N8,-0.50150603,0.023303414
A0A1W2PNR7,-0.44525397,-0.00030821215
A0A1W2PP29,-0.4564665,0.0016024187
A0A1W2PPF8,-0.44762865,0.023357168
A0A1W2PPN1,4.583683,-0.6034538
A0A1W2PPQ2,-0.4792825,0.012797958
A0A1W2PQD0,-0.47784147,0.00011496501
A0A1W2PQS8,-0.49461555,0.035045166
A0A1W2PR11,-0.5003386,0.02250683
A0A1W2PR61,-0.44854417,0.036383316
A0A1W2PRA6,4.5963078,-0.6102412
A0A1W2PRT9,-0.4762456,0.018964412
A0A1W2PRZ0,-0.49984944,0.012134837
A0A1W2PS24,-0.45319778,0.01708781
A0A1W2PS39,-0.49022245,0.00418925
A0A1W2PSE7,-0.49046704,0.019517712
A0A1Z2RTN8,-0.48656332,0.004134816
A0A218MK64,-0.48921135,0.01896874
A0A223FKV7,-0.4720527,0.024217494
A0A223FKY8,-0.46847162,0.005608042
A0A286LDA8,-0.47412953,0.04163986
A0A2I8B374,-0.4922042,0.047013838
A0A2I8B3D0,-0.4940733,0.0143448645
A0A2P9FID8,-0.48798308,0.026385007
A0A2R7Z5J3,-0.45336834,0.0295233
A0A2Z4LG68,-0.419303,0.04734504
A0A2Z4LG72,-0.43035018,0.031039653
A0A2Z4LG78,-0.3999774,0.062051438
A0A2Z4LI59,-0.4797587,0.0073772045
A0A346XQV8,-0.48854724,0.033780795
A0A346XQW7,-0.5030463,-0.0016873362
A0A387LBR7,-0.44605854,0.027734207
A0A3G1VFM0,-0.42707762,0.03922374
A0A3S6RFN3,-0.43954334,0.0022780125
A0A411J078,-0.4817639,-0.0011435603
A0A499S0B6,-0.4480011,0.023736406
A0A4D6NYZ2,-0.4725076,0.011534294
A0A4D6P130,-0.4813848,0.0449785
A0A4Y5ULJ4,-0.48008195,0.053328566
A0A583ZAV6,-0.49030682,0.032359656
A0A583ZAW0,-0.4732341,0.020042278
A0A583ZAW4,-0.33418778,0.06353999
A0A583ZAY5,-0.1716879,-0.022274379
A0A583ZB21,-0.4845843,0.007352782
A0A583ZB23,-0.49058238,0.015547838
A0A583ZB34,-0.48815224,0.007174782
A0A583ZB50,-0.41214666,0.035002008
A0A583ZB51,-0.46128893,0.014752734
A0A583ZB52,-0.46479622,0.014312052
A0A583ZB67,-0.36914974,0.00069590117
A0A583ZB79,-0.47686544,0.016880764
A0A583ZB91,-0.4244349,0.050552197
A0A583ZBA0,-0.4892347,0.043892756
A0A583ZBA7,-0.4967022,0.041123357
A0A583ZBB1,-0.48359329,0.04423981
A0A583ZBC2,-0.50463593,0.021472083
A0A583ZBC7,-0.45932162,0.023533762
A0A583ZBD5,-0.40577623,0.0036446145
A0A583ZBD8,-0.41350695,0.0160823
A0A583ZBE1,-0.48143727,0.04833398
A0A583ZBE5,-0.49795434,0.0013657262
A0A583ZBE6,-0.4803544,0.048127253
A0A583ZBE7,0.07652639,0.12883069
A0A583ZBF4,-0.42327613,0.038150955
A0A583ZBJ9,-0.45081005,-0.00025679448
A0A583ZBM5,-0.5057591,0.016370036
A0A583ZBM7,-0.49916336,0.026361564
A0A583ZBR5,-0.48684594,0.047745094
A0A583ZBS2,-0.47606552,0.05730257
A0A583ZBV1,-0.49557522,0.0068217707
A0A583ZBV7,-0.41909716,0.021501282
A0A583ZBW0,-0.48013648,-0.041511796
A0A583ZBW2,-0.49726495,0.01921729
A0A583ZBW3,-0.48596725,0.015413496
A0A583ZBW7,-0.45431116,-0.029712232
A0A583ZBW8,-0.47231105,0.010678034
A0A583ZBW9,0.56326616,0.20869881
A0A583ZBX0,-0.4984957,0.0018147628
A0A583ZBX2,-0.4966548,-0.010784145
A0A583ZC08,-0.49787876,0.010052807
A0A583ZC09,-0.42141005,0.0019862568
A0A583ZC10,-0.42961463,0.01580077
A0A583ZC12,-0.48270348,-0.029823333
A0A583ZC21,-0.47743797,0.023011299
A0A583ZC24,-0.4970016,0.034739316
A0A583ZC31,-0.49193045,0.036000967
A0A5B8RNS7,-0.4876168,0.013750295
A0A5C1JQH2,-0.4499382,-0.029922487
A0A5H2UEQ8,-0.47016186,0.015038411
A0A5H2UI55,-0.44811887,-0.0030601388
A0A5H2UTD7,-0.47395453,0.020945236
A0A5H2UU57,-0.4874505,0.015038503
A0A5H2UYS3,-0.4685583,-0.0010633349
A0A5J6BVL6,-0.50151765,-0.01304383
A0A650CD04,-0.4083132,0.026079463
A0A669KB34,3.9694598,-0.24410433
A0A678ZGP6,-0.4680178,0.015119939
A0A678ZMW1,-0.45241827,0.012480202
A0A6B7FTL9,-0.4897134,0.022204924
A0A6B7HFJ9,-0.49792653,0.03876871
A0A6M6AMD7,-0.4175776,0.011961197
A0A6M6CBR2,-0.41480067,-0.0141800735
A0A6M6CC39,-0.48692995,0.008558306
A0A6S7XV52,-0.46736354,0.015903374
A0A7T3P0R0,-0.49065134,-0.010129983
A0A7T3RIT5,-0.48032838,0.0009682324
