UniProt_ID,PC1,PC2
A0A060CZ20,-0.17585307,-0.020944107
A0A090KFS3,-0.17893632,-0.0018873948
A0A097ZQV5,-0.16888796,-0.0056307777
A0A0A8LC14,-0.1851348,-0.0081435
A0A0A8LDV2,-0.21111114,-0.011535818
A0A0B7MGD5,-0.13916753,0.01879187
A0A0B7MH39,-0.20739743,0.010264334
A0A0D4CZE3,-0.120744735,0.00070884184
A0A0F6TL23,-0.18131374,-0.013337457
A0A0G2JH50,-0.20574489,-0.011931906
A0A0G2JH66,-0.082391135,-0.00085181213
A0A0G2JI36,-0.20633389,0.007683269
A0A0G2JIF0,-0.20897909,-0.013017043
A0A0G2JIF2,-0.19382541,-0.003132461
A0A0G2JL56,-0.19800752,-0.0016568643
A0A0G2JNV5,-0.046140995,-0.021824092
A0A0G2JPA3,-0.1288298,-0.006606152
A0A0G2JPD3,-0.1893404,-0.002074035
A0A0G2JPQ3,-0.17718455,-0.01836046
A0A0H3W548,-0.19662985,-8.303157e-05
A0A109QAI7,-0.18744229,-0.018597988
A0A140T8W8,-0.15784262,0.007960956
A0A140T8X0,-0.13259621,-0.0086610345
A0A140T8Y4,-0.19677351,0.0024230105
A0A140T912,-0.2118018,-0.008726408
A0A140T913,-0.19276899,-0.016071446
A0A140T921,-0.1863653,-0.0063122814
A0A140T930,-0.20903395,-0.0066514295
A0A140T937,-0.21109849,-0.009548276
A0A140T941,-0.2023316,0.006024353
A0A140T953,-0.14590956,0.017393539
A0A140T955,-0.16311765,-0.0066379765
A0A140T962,-0.20972112,-0.010339328
A0A140T975,-0.2019067,0.005699318
A0A140T997,-0.1828821,0.02377111
A0A140T9B3,-0.20838392,-0.008839898
A0A140T9B7,-0.053625382,-0.014560465
A0A140T9D4,-0.14708103,0.0022679619
A0A140T9H5,-0.18456951,-0.01416876
A0A140T9J8,-0.08120024,-0.014275461
A0A140T9J9,-0.20699514,-0.010313948
A0A140T9M0,-0.20505023,-0.00904468
A0A140T9U0,-0.20530057,-0.009474225
A0A140T9U8,-0.18669614,-0.0157552
A0A140T9V0,-0.1312226,-0.0086708
A0A140T9W2,-0.20109977,-0.010222119
A0A140T9Y5,-0.18573676,0.019663475
A0A140T9Z6,-0.19119194,-0.00516142
A0A140TA02,-0.14397585,-0.012560598
A0A140TA05,-0.12725422,-0.043210477
A0A140TA11,-0.15974204,0.002694687
A0A140TA13,-0.14072149,-0.009008354
A0A140TA14,-0.15873486,0.004273949
A0A140TA19,-0.11404889,-0.038551208
A0A140TA21,-0.10199917,-0.042231787
A0A141MJG6,-0.2073422,0.006474128
A0A141MJG7,-0.21407703,-0.0052072466
A0A142J247,-0.1963204,0.0010615537
A0A142J256,-0.17647687,-0.028762773
A0A142J2H0,-0.19966292,0.001947013
A0A142J2H2,-0.20536634,0.0068900473
A0A142JA41,-0.19705816,-0.01817789
A0A143Y4R2,-0.19952668,-0.0017926143
A0A173AD40,-0.19666596,-0.0032417695
A0A173AD52,-0.15508345,0.0034598748
A0A173AD94,-0.16815433,0.00012788054
A0A173AD95,-0.17089798,0.0029326766
A0A173ADA9,-0.20523176,0.0066161724
A0A173ADB5,-0.16246401,0.0073099695
A0A173ADK6,-0.17858694,-0.0074509974
A0A1C3PHU5,-0.21292493,0.0022439572
A0A1G4HPV1,-0.20730078,0.0043937876
A0A1G4HPV3,-0.18276425,-0.015052569
A0A1G4HQ08,-0.17770019,-0.014945803
A0A1L2BLQ5,-0.10229781,0.011383707
A0A1L2BLQ6,-0.055898197,-0.017562002
A0A1S7SKC8,-0.19934295,0.0018463164
A0A1V0E5B5,-0.21135803,-0.0047093485
A0A1W1B5N8,-0.20858212,0.0076304874
A0A1W2PNR7,-0.15064941,-0.00094213174
A0A1W2PP29,-0.16182141,-0.0034092453
A0A1W2PPF8,-0.15546188,-0.002444881
A0A1W2PPQ2,-0.18688944,-0.013031548
A0A1W2PQD0,-0.18367891,-0.011880476
A0A1W2PQS8,-0.20311421,0.0053043202
A0A1W2PR11,-0.20795968,-0.00071472087
A0A1W2PR61,-0.15715513,0.00715223
A0A1W2PRT9,-0.18468095,-0.014660798
A0A1W2PRZ0,-0.20675509,0.0009333084
A0A1W2PS24,-0.16032931,-0.00025422484
A0A1W2PS39,-0.19661725,-0.010945849
A0A1W2PSE7,-0.19756615,-0.00543217
A0A1Z2RTN8,-0.19288321,-0.009627544
A0A218MK64,-0.19658017,0.012390489
A0A223FKV7,-0.18097433,-0.014488727
A0A223FKY8,-0.17607313,-0.025342086
A0A286LDA8,-0.18377602,-0.00035330135
A0A2I8B374,-0.20105553,0.013848721
A0A2I8B3D0,-0.20074391,0.0015549912
A0A2P9FID8,-0.19584964,-0.0017224678
A0A2R7Z5J3,-0.16104439,0.0039970046
A0A2Z4LG68,-0.126457,0.030673243
A0A2Z4LG72,-0.1362783,0.019492447
