pdb_id,chain,res_start,res_end,uniprot_id,target_length,mapped_length,uniprot_name,uniprot_length,organism,gene_name,entry_status,belongs_to,possibly_chimeric,grouped_gene_assigned,gene_name_assigned,organism_assigned,comments,resolution
7EJL,A,1,180,A0A5H2UYS3,180,367,MHC class I antigen,367,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,89"
8RLV,A,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,61"
1QSE,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,80"
1P7Q,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"3,40"
7P49,A,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,05"
3X11,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"2,15"
3X12,A,1,179,P01889,179,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,80"
3VXU,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,70"
7BH8,A,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,80"
7NDT,AAA,1,177,P13747,177,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"3,00"
7LFZ,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,90"
3BZF,A,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,50"
7TUD,A,1,180,D5H3J5,180,362,HLA class I histocompatibility antigen B alpha chain,362,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,45"
6J1W,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,50"
1BD2,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,50"
5JZI,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,50"
5EO1,A,1,179,P01889,179,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,85"
6P27,A,1,179,P01889,179,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,59"
2D31,A,1,180,P17693,180,338,"HLA class I histocompatibility antigen, alpha chain G",338,Homo sapiens,HLA-G,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"3,20"
3GSN,H,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,80"
1T22,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,20"
7OW6,A,1,180,A0A583ZB34,180,371,MHC class I antigen,371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,64"
1T1Y,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,00"
3FQU,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,80"
7UM2,A,1,180,Q53Z42,180,365,HLA class I antigen,365,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,63"
8ZV9,A,5,183,A0A7T3RIT5,179,336,MHC class I antigen,336,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,60"
5VVP,A,1,180,I3ZN84,180,362,HLA-B alpha chain (B*5703GB),362,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,00"
6ZKW,A,1,178,P13747,178,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,26"
7LG0,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"2,30"
1HHK,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,50"
