pdb,chain,tstart,tend,status,uniprot_id
AF-P04439-F1-model_v6,NoChainInfo,25,204,primary,P04439
AF-P17693-F1-model_v6,NoChainInfo,25,204,primary,P17693
AF-P10321-F1-model_v6,NoChainInfo,26,204,primary,P10321
AF-P01889-F1-model_v6,NoChainInfo,25,203,primary,P01889
AF-P13747-F1-model_v6,NoChainInfo,22,200,primary,P13747
AF-P01893-F1-model_v6,NoChainInfo,25,204,primary,P01893
AF-P30511-F1-model_v6,NoChainInfo,22,201,primary,P30511
AF-Q95460-F1-model_v6,NoChainInfo,24,197,primary,Q95460
AF-P25311-F1-model_v6,NoChainInfo,26,200,primary,P25311
AF-Q30201-F1-model_v6,NoChainInfo,26,201,primary,Q30201
AF-Q29980-F1-model_v6,NoChainInfo,24,198,primary,Q29980
AF-Q8TD07-F1-model_v6,NoChainInfo,29,201,primary,Q8TD07
AF-Q6H3X3-F1-model_v6,NoChainInfo,29,206,primary,Q6H3X3
AF-P55899-F1-model_v6,NoChainInfo,28,198,primary,P55899
AF-P06126-F1-model_v6,NoChainInfo,23,199,primary,P06126
AF-Q5VY80-F1-model_v6,NoChainInfo,29,206,primary,Q5VY80
AF-Q9BZM5-F1-model_v6,NoChainInfo,29,206,primary,Q9BZM5
AF-Q9BZM4-F1-model_v6,NoChainInfo,31,207,primary,Q9BZM4
AF-Q9BZM6-F1-model_v6,NoChainInfo,30,206,primary,Q9BZM6
AF-P15812-F1-model_v6,NoChainInfo,36,202,primary,P15812
AF-P29017-F1-model_v6,NoChainInfo,25,197,primary,P29017
AF-Q29983-F1-model_v6,NoChainInfo,26,198,primary,Q29983
AF-P15813-F1-model_v6,NoChainInfo,25,197,primary,P15813
AF-Q9UNN8-F1-model_v6,NoChainInfo,24,202,primary,Q9UNN8
AF-P29016-F1-model_v6,NoChainInfo,24,200,primary,P29016
