UniProt_ID,PC1,PC2
A0A060CZ20,-0.24577123,0.024361739
A0A090KFS3,-0.24857809,-0.0009674958
A0A097ZQV5,-0.23872338,0.0027961866
A0A0A8LC14,-0.25482944,0.0035387133
A0A0A8LDV2,-0.28086102,0.009306725
A0A0B7MGD5,-0.20874986,-0.01933362
A0A0B7MH39,-0.27703288,-0.010166623
A0A0D4CZE3,-0.19013317,0.002113089
A0A0F6TL23,-0.25118965,0.015520517
A0A0G2JH50,-0.27557054,0.010074169
A0A0G2JH66,-0.15206495,0.006946058
A0A0G2JI36,-0.27597946,-0.009378581
A0A0G2JIF0,-0.27883044,0.011096883
A0A0G2JIF2,-0.26356828,0.0007792315
A0A0G2JL56,-0.26775417,0.0005649088
A0A0G2JNV5,-0.11597001,0.02640691
A0A0G2JPA3,-0.19855067,0.0073120496
A0A0G2JPD3,-0.2591069,0.0018612371
A0A0G2JPQ3,-0.24699135,0.014097782
A0A0H3W548,-0.26633772,-0.0018908132
A0A109QAI7,-0.257266,0.018495657
A0A140T8W8,-0.2275558,-0.009902623
A0A140T8X0,-0.20233656,0.0093904445
A0A140T8Y4,-0.2664854,-0.003628256
A0A140T912,-0.28163832,0.00771078
A0A140T913,-0.26264653,0.017400779
A0A140T921,-0.25607556,0.00063566637
A0A140T930,-0.27887213,0.0047454643
A0A140T937,-0.28093404,0.008579323
A0A140T941,-0.27191436,-0.0079869395
A0A140T953,-0.21557033,-0.016353361
A0A140T955,-0.23301281,0.007064759
A0A140T962,-0.2795567,0.010422459
A0A140T975,-0.27148739,-0.008686748
A0A140T997,-0.25237197,-0.023434646
A0A140T9B3,-0.27821487,0.008015165
A0A140T9B7,-0.1234903,0.018019253
A0A140T9D4,-0.21678266,-0.0077305282
A0A140T9H5,-0.25433466,0.008785351
A0A140T9J8,-0.1509814,0.019124314
A0A140T9J9,-0.27682933,0.010883825
A0A140T9M0,-0.2747412,0.0060037994
A0A140T9U0,-0.27500904,0.006516045
A0A140T9U8,-0.25648752,0.010482595
A0A140T9V0,-0.20095415,0.008808339
A0A140T9W2,-0.27081436,0.006217843
A0A140T9Y5,-0.2552409,-0.017643083
A0A140T9Z6,-0.2608769,0.0028070302
A0A140TA02,-0.21379484,0.015895408
A0A140TA05,-0.19726229,0.041757297
A0A140TA11,-0.22945376,0.0005431015
A0A140TA13,-0.21060432,0.015719322
A0A140TA14,-0.22842656,-0.000566963
A0A140TA19,-0.184057,0.0426438
A0A140TA21,-0.17206287,0.04169611
A0A141MJG6,-0.27702165,-0.005904122
A0A141MJG7,-0.28378254,0.0024922735
A0A142J247,-0.2660298,-0.00284167
A0A142J256,-0.24641715,0.030923082
A0A142J2H0,-0.2693903,-0.0061160354
A0A142J2H2,-0.2750689,-0.005118833
A0A142JA41,-0.26689577,0.014915546
A0A143Y4R2,-0.26918632,-4.786527e-05
A0A173AD40,-0.26637197,-0.0001558322
A0A173AD52,-0.22481763,-0.0074143084
A0A173AD94,-0.23791707,-0.003866744
A0A173AD95,-0.24067444,-0.0048891366
A0A173ADA9,-0.27484566,-0.006162785
A0A173ADB5,-0.232218,-0.00936178
A0A173ADK6,-0.2482681,0.0070894393
A0A1C3PHU5,-0.28255883,-0.0034151087
A0A1G4HPV1,-0.2769678,-0.0034352348
A0A1G4HPV3,-0.2525451,0.0130491415
A0A1G4HQ08,-0.2474852,0.013144846
A0A1L2BLQ5,-0.17157017,-0.013448586
A0A1L2BLQ6,-0.12546928,0.020945268
A0A1S7SKC8,-0.26904547,-0.0031382113
A0A1V0E5B5,-0.28118664,0.0045020604
A0A1W1B5N8,-0.27825767,-0.009293183
A0A1W2PNR7,-0.22042999,-0.0013981311
A0A1W2PP29,-0.23162657,-0.0010049586
A0A1W2PPF8,-0.22529633,0.0004917206
A0A1W2PPQ2,-0.2567197,0.013849261
A0A1W2PQD0,-0.2534063,0.007397723
A0A1W2PQS8,-0.272713,-0.0074790693
A0A1W2PR11,-0.27771485,0.00069882366
A0A1W2PR61,-0.22686924,-0.0090084085
A0A1W2PRT9,-0.25454536,0.016715318
A0A1W2PRZ0,-0.2764894,-0.002536219
A0A1W2PS24,-0.23006792,-0.0033657926
A0A1W2PS39,-0.2663149,0.007248306
A0A1W2PSE7,-0.26731998,0.0030605688
A0A1Z2RTN8,-0.26259804,0.0053226724
A0A218MK64,-0.26623908,-0.014527857
A0A223FKV7,-0.2508472,0.017318798
A0A223FKY8,-0.24602425,0.02797644
A0A286LDA8,-0.2534983,0.0011331318
A0A2I8B374,-0.27065277,-0.012874702
A0A2I8B3D0,-0.27042922,-0.004218175
A0A2P9FID8,-0.2655666,-0.0012047576
A0A2R7Z5J3,-0.23072383,-0.0055142087
A0A2Z4LG68,-0.19556428,-0.02881281
A0A2Z4LG72,-0.20554028,-0.016124982
A0A2Z4LG78,-0.17657167,-0.04410574
A0A2Z4LI59,-0.25628924,-0.003444702
A0A346XQV8,-0.26651824,-0.016757933
A0A346XQW7,-0.27856228,0.010802398
A0A387LBR7,-0.2240481,-0.0012876306
A0A3G1VFM0,-0.20273261,-0.021329513
A0A3S6RFN3,-0.21496236,-0.0041604107
A0A411J078,-0.2576326,0.015542958
A0A499S0B6,-0.22505775,-0.011071141
A0A4D6NYZ2,-0.25043416,0.025898911
A0A4D6P130,-0.26040158,-0.014987908
A0A4Y5ULJ4,-0.25904727,-0.024788775
A0A583ZAV6,-0.2684197,-0.0010269023
A0A583ZAW0,-0.25159416,0.020716826
A0A583ZAW4,-0.11035333,-0.01701914
A0A583ZAY5,0.050392203,0.037700277
A0A583ZB21,-0.2607868,0.009625902
A0A583ZB23,-0.26754224,0.005044128
A0A583ZB34,-0.26447523,0.007801182
A0A583ZB50,-0.18805611,-0.00031110656
A0A583ZB51,-0.23904623,0.028589545
A0A583ZB52,-0.24242648,0.029472707
A0A583ZB67,-0.14373729,0.021452019
A0A583ZB79,-0.25407755,0.004280983
A0A583ZB91,-0.20085965,-0.026923373
A0A583ZBA0,-0.26806813,-0.009842439
A0A583ZBA7,-0.2749855,-0.015183768
A0A583ZBB1,-0.26167735,-0.019400416
A0A583ZBC2,-0.281206,-0.00029525452
A0A583ZBC7,-0.23701926,-0.02278009
A0A583ZBD5,-0.17885359,-0.0070157386
A0A583ZBD8,-0.18757553,0.002976992
A0A583ZBE1,-0.2606611,-0.011922379
A0A583ZBE5,-0.27374694,-0.004437191
A0A583ZBE6,-0.25878754,-0.02156098
A0A583ZBF4,-0.19838738,-0.009896161
A0A583ZBJ9,-0.2259049,-0.0029340312
A0A583ZBM5,-0.28195265,-0.0018722495
A0A583ZBM7,-0.2759778,-0.004835643
A0A583ZBR5,-0.2654026,-0.021015644
A0A583ZBS2,-0.25528565,-0.023913642
A0A583ZBV1,-0.2713178,0.0008302428
A0A583ZBV7,-0.19362766,-0.027175227
A0A583ZBW0,-0.2532821,0.016478624
A0A583ZBW2,-0.27465835,0.0059402613
